parameter	name (if diff)	unit	expected	low	high	distribution	references	
loading_rate		kg TSS/hr	30			constant	manual	
energy_required_to_dry_sludge		MJ/kg water	3.5	3.15	3.85	uniform	Tchobanoglous et al.	
dry_feces_heat_of_combustion		MJ/kg dry	16.6	10.9	22.3	uniform	Gates Report on energy balance	
biochar_auger_cb		USD	838.025	681.05	995	uniform	https://www.indiamart.com/proddetail/stainless-steel-screw-conveyor-10742232573.html	
pyrolysis_pot_cost_cb		USD	437.695	225.04	650.35	uniform	*assumed	
char_auger_motor_cost_cb		USD	286.35	249	323.7	uniform	Additional Questions	
fuel_auger_motor_cost_cb		USD	319.7	278	361.4	uniform	Additional Questions	
primary_air_blower_cost_cb		USD	193.2	168	218.4	uniform	Additional Questions	
o2_sensor_cost_pcd		USD	320.29	160.58	480	uniform	Additional Questions	
thermocouple_cost_cb_pcd		USD	38.5	32	45	uniform	Additional Questions	
thermistor_cost_cb_pcd		USD	11.79	7.86	15.72	uniform	Additional Questions	
forced_air_fan_cost_cb		USD	622.5	415	830	uniform	Additional Questions	
airlock_motor_cost_cb		USD	218.5	190	247	uniform	Additional Questions	
inducer_fan_cost_cb		USD	375	250	500	uniform	Additional Questions	
biochar_collection_box_cost_cb		USD	275	250	300	uniform	https://www.alibaba.com/product-detail/2-M3-Steel-Skip-Bin-Stainless_1600100985567.html?spm=a2700.gallery_search_cps.normalList.45.5803288doSLA3f	
klinker_basher_cost_cb		USD	0			constant		
drive_chain_cost_cb		USD	290.7			constant	https://www.grainger.com/search/power-transmission/power-transmission-chains-and-sprockets/roller-chains?sst=4&ts_optout=true&searchQuery=%2340+drive+chain	
chain_guards_cost_cb		USD	208	143	273	uniform	https://www.grainger.com/product/5PCC6?cm_mmc=PPC:+Google+PLA&ef_id=CjwKCAiAi_D_BRApEiwASslbJ4xrZDuC3qyHSaYg_YAbKlREzxUj-1byLlOYeIW6el14Om0EfRTfEBoC1VwQAvD_BwE:G:s&s_kwcid=AL!2966!3!264955916378!!!g!437270349779!&gucid=N:N:PS:Paid:GGL:CSM-2295:4P7A1P:20501231	
door_cost_cb		USD	437	276	598	uniform	https://www.grainger.com/product/6EJA9?cm_mmc=PPC:+Google+PLA&ef_id=CjwKCAiAi_D_BRApEiwASslbJ9ONdr_pWJzS-38WreiKIqjRmFR0CbulqwVwnFflKyr21Azs1EtNfBoChtcQAvD_BwE:G:s&s_kwcid=AL!2966!3!264955916048!!!g!502441189157!&gucid=N:N:PS:Paid:GGL:CSM-2295:4P7A1P:20501231	
agitator_cost_cb		USD	548.355	403.76	692.95	uniform	https://www.grainger.com/product/38C890?cm_mmc=PPC:+Google+PLA&ef_id=CjwKCAiAi_D_BRApEiwASslbJ_IRw16dD0vgfEHQYkvnjeyN-kvmWyVfLsIjZK5jKYVa0dxK8wOE3hoCjtYQAvD_BwE:G:s&s_kwcid=AL!2966!3!264955916105!!!g!437575797294!&gucid=N:N:PS:Paid:GGL:CSM-2295:4P7A1P:20501231	
